zip,cust_id,place_name,county,city,state,region
46291,60165.0,Indianapolis,Marion,Indianapolis,IN,Midwest
60013,58862.0,Cary,McHenry,Cary,IL,Midwest
65655,60166.0,Gainesville,Ozark,Gainesville,MO,Midwest
23976,44475.0,Wylliesburg,Charlotte,Wylliesburg,VA,South
28105,60167.0,Matthews,Mecklenburg,Matthews,NC,South
97427,38614.0,Culp Creek,Lane,Culp Creek,OR,West
27049,60168.0,Toast,Surry,Toast,NC,South
3304,43428.0,Bow,Merrimack,Bow,NH,Northeast
63882,53954.0,Wyatt,Mississippi,Wyatt,MO,Midwest
49101,14025.0,Baroda,Berrien,Baroda,MI,Midwest
55589,1562.0,Monticello,Wright,Monticello,MN,Midwest
62338,23398.0,Fowler,Adams,Fowler,IL,Midwest
26146,10731.0,Friendly,Tyler,Friendly,WV,South
63068,57134.0,New Haven,Franklin,New Haven,MO,Midwest
80620,60169.0,Evans,Weld,Evans,CO,West
88525,60170.0,El Paso,El Paso,El Paso,TX,South
72176,60171.0,Ward,Lonoke,Ward,AR,South
20332,60172.0,Washington,District of Columbia,Washington,DC,South
72530,60173.0,Drasco,Cleburne,Drasco,AR,South
84115,52965.0,Salt Lake City,Salt Lake,Salt Lake City,UT,West
21202,60174.0,Baltimore,Baltimore (city),Baltimore,MD,South
32174,60175.0,Ormond Beach,Volusia,Ormond Beach,FL,South
93639,60176.0,Madera,Madera,Madera,CA,West
15758,60177.0,Marchand,Indiana,Marchand,PA,Northeast
39062,59471.0,D Lo,Simpson,D Lo,MS,South
83311,60178.0,Albion,Cassia,Albion,ID,West
73118,58082.0,Oklahoma City,Oklahoma,Oklahoma City,OK,South
55561,60179.0,Monticello,Carver,Monticello,MN,Midwest
4607,59284.0,Gouldsboro,Hancock,Gouldsboro,ME,Northeast
43522,42561.0,Grand Rapids,Wood,Grand Rapids,OH,Midwest
45884,50293.0,Saint Johns,Auglaize,Saint Johns,OH,Midwest
5848,21947.0,Lower Waterford,Caledonia,Lower Waterford,VT,Northeast
37057,60180.0,Dixon Springs,Smith,Dixon Springs,TN,South
21816,60181.0,Chance,Chance,Chance,MD,South
70150,5743.0,New Orleans,Orleans,New Orleans,LA,South
20529,16163.0,Washington,Washington,Washington,DC,South
25986,1616.0,Spring Dale,Fayette,Spring Dale,WV,South
26186,53044.0,Wileyville,Wetzel,Wileyville,WV,South
45427,800.0,Dayton,Montgomery,Dayton,OH,Midwest
36064,60182.0,Pike Road,Montgomery,Pike Road,AL,South
56549,15442.0,Hawley,Clay,Hawley,MN,Midwest
8245,56899.0,South Dennis,Cape May,South Dennis,NJ,Northeast
20535,60111.0,Washington,District of Columbia,Washington,DC,South
96824,31025.0,Honolulu,Honolulu,Honolulu,HI,West
31198,60183.0,Atlanta,Fulton,Atlanta,GA,South
87323,59810.0,Thoreau,McKinley,Thoreau,NM,West
62071,60184.0,National Stock Yards,St. Clair,National Stock Yards,IL,Midwest
77033,13798.0,Houston,Harris,Houston,TX,South
61847,31155.0,Gifford,Champaign,Gifford,IL,Midwest
37778,60185.0,Lowland,Hamblen,Lowland,TN,South
47575,60186.0,Saint Anthony,Dubois,Saint Anthony,IN,Midwest
77835,24069.0,Burton,Washington,Burton,TX,South
58523,60187.0,Beulah,Mercer,Beulah,ND,Midwest
84403,2858.0,Ogden,Weber,Ogden,UT,West
33598,32651.0,Wimauma,Hillsborough,Wimauma,FL,South
14108,60188.0,Newfane,Niagara,Newfane,NY,Northeast
25514,34707.0,Fort Gay,Wayne,Fort Gay,WV,South
61725,48310.0,Carlock,McLean,Carlock,IL,Midwest
36586,60189.0,Walker Springs,Clarke,Walker Springs,AL,South
68930,5926.0,Blue Hill,Webster,Blue Hill,NE,Midwest
81121,12806.0,Arboles,Archuleta,Arboles,CO,West
23308,60190.0,Bloxom,Accomack,Bloxom,VA,South
75083,60191.0,Richardson,Dallas,Richardson,TX,South
62028,52131.0,Elsah,Jersey,Elsah,IL,Midwest
41629,60192.0,Galveston,Galveston,Galveston,KY,South
37640,4923.0,Butler,Johnson,Butler,TN,South
13153,60193.0,Skaneateles Falls,Onondaga,Skaneateles Falls,NY,Northeast
78710,60194.0,Austin,Travis,Austin,TX,South
37079,60195.0,Indian Mound,Stewart,Indian Mound,TN,South
43724,60196.0,Caldwell,Noble,Caldwell,OH,Midwest
18923,57572.0,Fountainville,Bucks,Fountainville,PA,Northeast
75925,60197.0,Alto,Cherokee,Alto,TX,South
94066,15949.0,San Bruno,San Mateo,San Bruno,CA,West
8555,57691.0,Roosevelt,Monmouth,Roosevelt,NJ,Northeast
26121,37539.0,Mineral Wells,Wood,Mineral Wells,WV,South
49077,58985.0,Oshtemo,Kalamazoo,Oshtemo,MI,Midwest
75686,3100.0,Pittsburg,Camp,Pittsburg,TX,South
68147,35749.0,Bellevue,Sarpy,Bellevue,NE,Midwest
51029,459.0,Larrabee,Cherokee,Larrabee,IA,Midwest
76268,60198.0,Southmayd,Grayson,Southmayd,TX,South
24816,60199.0,Big Sandy,McDowell,Big Sandy,WV,South
49663,57865.0,Manton,Wexford,Manton,MI,Midwest
3034,49042.0,Candia,Rockingham,Candia,NH,Northeast
26675,33118.0,Keslers Cross Lanes,Nicholas,Keslers Cross Lanes,WV,South
11976,41066.0,Water Mill,Suffolk,Water Mill,NY,Northeast
30320,60200.0,Atlanta,Fulton,Atlanta,GA,South
73557,59978.0,Medicine Park,Comanche,Medicine Park,OK,South
25814,59282.0,Beckwith,Beckwith,Beckwith,WV,South
92730,55314.0,Irvine,Irvine,Irvine,CA,West
80745,60201.0,Padroni,Logan,Padroni,CO,West
29606,16.0,Greenville,Greenville,Greenville,SC,South
58475,56267.0,Pettibone,Kidder,Pettibone,ND,Midwest
71343,25891.0,Jonesville,Catahoula,Jonesville,LA,South
87059,60202.0,Tijeras,Bernalillo,Tijeras,NM,West
77536,59743.0,Deer Park,Harris,Deer Park,TX,South
40472,60203.0,Ravenna,Estill,Ravenna,KY,South
37421,60204.0,Chattanooga,Hamilton,Chattanooga,TN,South
14728,55183.0,Dewittville,Chautauqua,Dewittville,NY,Northeast
97229,60205.0,Portland,Washington,Portland,OR,West
50335,48764.0,Des Moines,Polk,Des Moines,IA,Midwest
34668,58954.0,Port Richey,Pasco,Port Richey,FL,South
82631,57924.0,Bill,Converse,Bill,WY,West
7514,59140.0,Paterson,Passaic,Paterson,NJ,Northeast
62878,54663.0,Rinard,Wayne,Rinard,IL,Midwest
12986,60206.0,Tupper Lake,Franklin,Tupper Lake,NY,Northeast
45848,58849.0,Glandorf,Putnam,Glandorf,OH,Midwest
33035,9406.0,Homestead,Miami-Dade,Homestead,FL,South
24237,60207.0,Dante,Russell,Dante,VA,South
31038,60208.0,Hillsboro,Jasper,Hillsboro,GA,South
41131,52170.0,Concord,Concord,Concord,KY,South
13666,60209.0,Newton Falls,St. Lawrence,Newton Falls,NY,Northeast
45677,56341.0,Scioto Furnace,Scioto,Scioto Furnace,OH,Midwest
66647,59500.0,Topeka,Shawnee,Topeka,KS,Midwest
96108,17733.0,Davis Creek,Modoc,Davis Creek,CA,West
68501,60210.0,Lincoln,Lancaster,Lincoln,NE,Midwest
11433,9831.0,Jamaica,Queens,Jamaica,NY,Northeast
25909,60211.0,Prosperity,Raleigh,Prosperity,WV,South
59044,32024.0,Laurel,Yellowstone,Laurel,MT,West
48758,5231.0,Richville,Tuscola,Richville,MI,Midwest
5451,16488.0,Essex,Chittenden,Essex,VT,Northeast
92117,58902.0,San Diego,San Diego,San Diego,CA,West
59636,51242.0,Fort Harrison,Lewis and Clark,Fort Harrison,MT,West
67557,35133.0,Macksville,Stafford,Macksville,KS,Midwest
91301,59869.0,Agoura Hills,Los Angeles,Agoura Hills,CA,West
97019,60212.0,Corbett,Multnomah,Corbett,OR,West
83744,25063.0,Boise,Ada,Boise,ID,West
97819,41207.0,Bridgeport,Baker,Bridgeport,OR,West
45380,60213.0,Versailles,Darke,Versailles,OH,Midwest
21613,60214.0,Cambridge,Dorchester,Cambridge,MD,South
84065,41780.0,Riverton,Salt Lake,Riverton,UT,West
87016,5070.0,Estancia,Torrance,Estancia,NM,West
39461,27761.0,Neely,Greene,Neely,MS,South
29351,60215.0,Joanna,Laurens,Joanna,SC,South
6408,7476.0,Cheshire,New Haven,Cheshire,CT,Northeast
33614,59612.0,Tampa,Hillsborough,Tampa,FL,South
46952,56500.0,Marion,Grant,Marion,IN,Midwest
83801,12178.0,Athol,Kootenai,Athol,ID,West
47025,60216.0,Lawrenceburg,Dearborn,Lawrenceburg,IN,Midwest
45106,60217.0,Bethel,Clermont,Bethel,OH,Midwest
74121,54361.0,Tulsa,Tulsa,Tulsa,OK,South
32794,60218.0,Maitland,Orange,Maitland,FL,South
40359,60219.0,Owenton,Owen,Owenton,KY,South
24248,60220.0,Ewing,Lee,Ewing,VA,South
29744,40660.0,Van Wyck,Lancaster,Van Wyck,SC,South
76540,60221.0,Killeen,Bell,Killeen,TX,South
12993,60222.0,Westport,Essex,Westport,NY,Northeast
94263,60223.0,Sacramento,Sacramento,Sacramento,CA,West
16438,59039.0,Union City,Erie,Union City,PA,Northeast
90746,36448.0,Carson,Los Angeles,Carson,CA,West
33055,57217.0,Opa Locka,Miami-Dade,Opa Locka,FL,South
80942,60224.0,Colorado Springs,El Paso,Colorado Springs,CO,West
25213,50940.0,Winfield,Putnam,Winfield,WV,South
39552,60225.0,Escatawpa,Jackson,Escatawpa,MS,South
24236,49738.0,Damascus,Washington,Damascus,VA,South
75387,60226.0,Dallas,Dallas,Dallas,TX,South
43148,60227.0,Pleasantville,Fairfield,Pleasantville,OH,Midwest
89501,47461.0,Reno,Washoe,Reno,NV,West
21501,60228.0,Cumberland,Allegany,Cumberland,MD,South
12252,1555.0,Albany,Albany,Albany,NY,Northeast
58656,15553.0,Taylor,Stark,Taylor,ND,Midwest
47856,60229.0,Judson,Parke,Judson,IN,Midwest
82711,60230.0,Alva,Crook,Alva,WY,West
95518,8450.0,Arcata,Humboldt,Arcata,CA,West
13754,57673.0,Deposit,Broome,Deposit,NY,Northeast
57719,4524.0,Box Elder,Pennington,Box Elder,SD,Midwest
99771,32.0,Shaktoolik,Nome (CA),Shaktoolik,AK,West
66039,64.0,Kincaid,Anderson,Kincaid,KS,Midwest
70005,60231.0,Metairie,Jefferson,Metairie,LA,South
6134,52844.0,Hartford,Hartford,Hartford,CT,Northeast
66852,40018.0,Gridley,Coffey,Gridley,KS,Midwest
42157,60232.0,Mount Hermon,Monroe,Mount Hermon,KY,South
25773,14428.0,Huntington,Cabell,Huntington,WV,South
85295,30548.0,Gilbert,Gilbert,Gilbert,AZ,West
82058,54100.0,Garrett,Albany,Garrett,WY,West
47542,60233.0,Huntingburg,Dubois,Huntingburg,IN,Midwest
29230,10982.0,Columbia,Richland,Columbia,SC,South
10579,60234.0,Putnam Valley,Putnam,Putnam Valley,NY,Northeast
83203,60235.0,Fort Hall,Bingham,Fort Hall,ID,West
84015,57748.0,Clearfield,Davis,Clearfield,UT,West
8550,4257.0,Princeton Junction,Mercer,Princeton Junction,NJ,Northeast
43840,57629.0,Stone Creek,Tuscarawas,Stone Creek,OH,Midwest
56732,17482.0,Karlstad,Kittson,Karlstad,MN,Midwest
91393,60236.0,North Hills,Los Angeles,North Hills,CA,West
11429,60237.0,Queens Village,Queens,Queens Village,NY,Northeast
94535,48759.0,Travis Afb,Solano,Travis Afb,CA,West
64847,59149.0,Lanagan,McDonald,Lanagan,MO,Midwest
45353,54613.0,Pemberton,Shelby,Pemberton,OH,Midwest
46103,60238.0,Amo,Hendricks,Amo,IN,Midwest
86045,22513.0,Tuba City,Coconino,Tuba City,AZ,West
13322,56849.0,Clayville,Oneida,Clayville,NY,Northeast
29488,20226.0,Walterboro,Colleton,Walterboro,SC,South
17331,60239.0,Hanover,York,Hanover,PA,Northeast
66071,13113.0,Paola,Miami,Paola,KS,Midwest
28102,60240.0,Mc Farlan,Anson,Mc Farlan,NC,South
24540,60241.0,Danville,Danville (city),Danville,VA,South
28234,60242.0,Charlotte,Mecklenburg,Charlotte,NC,South
59920,30627.0,Kila,Flathead,Kila,MT,West
20751,60243.0,Deale,Anne Arundel,Deale,MD,South
28340,58801.0,Fairmont,Robeson,Fairmont,NC,South
38220,60244.0,Atwood,Carroll,Atwood,TN,South
84745,58946.0,La Verkin,Washington,La Verkin,UT,West
62006,34919.0,Batchtown,Calhoun,Batchtown,IL,Midwest
72314,58333.0,Birdeye,Cross,Birdeye,AR,South
13788,60245.0,Hobart,Delaware,Hobart,NY,Northeast
99021,60246.0,Mead,Spokane,Mead,WA,West
1138,53884.0,Springfield,Hampden,Springfield,MA,Northeast
16732,14829.0,Gifford,McKean,Gifford,PA,Northeast
75654,60247.0,Henderson,Rusk,Henderson,TX,South
38863,60248.0,Pontotoc,Pontotoc,Pontotoc,MS,South
19345,60249.0,Immaculata,Chester,Immaculata,PA,Northeast
72052,42006.0,Garner,White,Garner,AR,South
37617,60250.0,Blountville,Sullivan,Blountville,TN,South
98536,60251.0,Copalis Crossing,Grays Harbor,Copalis Crossing,WA,West
62028,56245.0,Elsah,Jersey,Elsah,IL,Midwest
80478,52213.0,Tabernash,Grand,Tabernash,CO,West
80107,54821.0,Elizabeth,Elbert,Elizabeth,CO,West
64468,60252.0,Maryville,Nodaway,Maryville,MO,Midwest
13021,60253.0,Auburn,Cayuga,Auburn,NY,Northeast
44146,60254.0,Bedford,Cuyahoga,Bedford,OH,Midwest
58001,797.0,Abercrombie,Richland,Abercrombie,ND,Midwest
58463,57620.0,Mcclusky,Sheridan,Mcclusky,ND,Midwest
26327,60255.0,Berea,Ritchie,Berea,WV,South
37015,60256.0,Ashland City,Cheatham,Ashland City,TN,South
99681,58555.0,Tununak,Bethel (CA),Tununak,AK,West
39342,36517.0,Marion,Lauderdale,Marion,MS,South
26159,59566.0,Paden City,Wetzel,Paden City,WV,South
51443,60257.0,Glidden,Carroll,Glidden,IA,Midwest
98903,6977.0,Yakima,Yakima,Yakima,WA,West
50861,23918.0,Shannon City,Union,Shannon City,IA,Midwest
36278,60258.0,Wedowee,Randolph,Wedowee,AL,South
5661,60259.0,Morrisville,Lamoille,Morrisville,VT,Northeast
66754,56647.0,Mapleton,Bourbon,Mapleton,KS,Midwest
30157,16523.0,Dallas,Paulding,Dallas,GA,South
21912,60260.0,Warwick,Cecil,Warwick,MD,South
48756,42324.0,Prescott,Ogemaw,Prescott,MI,Midwest
43962,56867.0,Summitville,Columbiana,Summitville,OH,Midwest
95644,55184.0,Kit Carson,Amador,Kit Carson,CA,West
19087,60261.0,Wayne,Delaware,Wayne,PA,Northeast
98257,55079.0,La Conner,Skagit,La Conner,WA,West
2238,59994.0,Cambridge,Middlesex,Cambridge,MA,Northeast
39735,60262.0,Ackerman,Choctaw,Ackerman,MS,South
21279,60263.0,Baltimore,Baltimore (city),Baltimore,MD,South
95984,59466.0,Twain,Plumas,Twain,CA,West
2492,59320.0,Needham,Norfolk,Needham,MA,Northeast
61328,60264.0,Kasbeer,Bureau,Kasbeer,IL,Midwest
38601,3432.0,Abbeville,Lafayette,Abbeville,MS,South
26690,567.0,Swiss,Nicholas,Swiss,WV,South
21032,60266.0,Crownsville,Anne Arundel,Crownsville,MD,South
57531,32892.0,Draper,Jones,Draper,SD,Midwest
94568,59681.0,Dublin,Alameda,Dublin,CA,West
54620,5689.0,Cataract,Monroe,Cataract,WI,Midwest
49825,60267.0,Eben Junction,Alger,Eben Junction,MI,Midwest
60603,59505.0,Chicago,Cook,Chicago,IL,Midwest
51011,60268.0,Chatsworth,Sioux,Chatsworth,IA,Midwest
7875,55394.0,Stillwater,Sussex,Stillwater,NJ,Northeast
32116,60269.0,Daytona Beach,Volusia,Daytona Beach,FL,South
70638,60270.0,Elizabeth,Allen,Elizabeth,LA,South
6796,42138.0,West Cornwall,Litchfield,West Cornwall,CT,Northeast
1936,56700.0,Hamilton,Essex,Hamilton,MA,Northeast
74957,41276.0,Smithville,McCurtain,Smithville,OK,South
6073,60271.0,South Glastonbury,Hartford,South Glastonbury,CT,Northeast
210,55208.0,Portsmouth,Rockingham,Portsmouth,NH,Northeast
17978,55292.0,Spring Glen,Schuylkill,Spring Glen,PA,Northeast
81082,55408.0,Trinidad,Las Animas,Trinidad,CO,West
1366,60272.0,Petersham,Worcester,Petersham,MA,Northeast
20413,55701.0,Washington,District of Columbia,Washington,DC,South
93542,60273.0,Little Lake,Inyo,Little Lake,CA,West
96157,59887.0,South Lake Tahoe,El Dorado,South Lake Tahoe,CA,West
78216,55688.0,San Antonio,Bexar,San Antonio,TX,South
24747,60274.0,Rock,Mercer,Rock,WV,South
72122,53885.0,Paron,Saline,Paron,AR,South
12164,60275.0,Speculator,Hamilton,Speculator,NY,Northeast
41261,60276.0,Warfield,Warfield,Warfield,KY,South
6355,60277.0,Mystic,New London,Mystic,CT,Northeast
56136,59156.0,Hendricks,Lincoln,Hendricks,MN,Midwest
78379,7850.0,Riviera,Kleberg,Riviera,TX,South
96137,59942.0,Westwood,Lassen,Westwood,CA,West
22526,60278.0,Ninde,King George,Ninde,VA,South
26184,10301.0,Waverly,Wood,Waverly,WV,South
96745,53484.0,Kailua Kona,Hawaii,Kailua Kona,HI,West
22117,60279.0,Middleburg,Middleburg,Middleburg,VA,South
99928,57423.0,Ward Cove,Ketchikan Gateway,Ward Cove,AK,West
38310,60280.0,Adamsville,McNairy,Adamsville,TN,South
38363,31775.0,Parsons,Decatur,Parsons,TN,South
59065,5079.0,Pray,Park,Pray,MT,West
2165,59636.0,Newton,Middlesex,Newton,MA,Northeast
35022,60281.0,Bessemer,Jefferson,Bessemer,AL,South
48801,8546.0,Alma,Gratiot,Alma,MI,Midwest
38310,60282.0,Adamsville,McNairy,Adamsville,TN,South
30467,6923.0,Sylvania,Screven,Sylvania,GA,South
57048,44879.0,Montrose,McCook,Montrose,SD,Midwest
20176,60283.0,Leesburg,Loudoun,Leesburg,VA,South
60647,33220.0,Chicago,Cook,Chicago,IL,Midwest
84089,44950.0,Clearfield,Davis,Clearfield,UT,West
40965,42788.0,Middlesboro,Bell,Middlesboro,KY,South
75459,60284.0,Howe,Grayson,Howe,TX,South
94232,59157.0,Sacramento,Sacramento,Sacramento,CA,West
45338,46208.0,Lewisburg,Preble,Lewisburg,OH,Midwest
74859,60285.0,Okemah,Okfuskee,Okemah,OK,South
53179,44720.0,Trevor,Kenosha,Trevor,WI,Midwest
38504,60286.0,Allardt,Fentress,Allardt,TN,South
25081,48693.0,Foster,Boone,Foster,WV,South
23229,58080.0,Richmond,Henrico,Richmond,VA,South
99654,60287.0,Wasilla,Matanuska-Susitna,Wasilla,AK,West
28247,46537.0,Charlotte,Mecklenburg,Charlotte,NC,South
67127,60288.0,Protection,Comanche,Protection,KS,Midwest
47613,58209.0,Elberfeld,Warrick,Elberfeld,IN,Midwest
12701,59971.0,Monticello,Sullivan,Monticello,NY,Northeast
25913,60289.0,Ravencliff,Wyoming,Ravencliff,WV,South
44260,60290.0,Mogadore,Summit,Mogadore,OH,Midwest
3254,60291.0,Moultonborough,Carroll,Moultonborough,NH,Northeast
95632,48111.0,Galt,Sacramento,Galt,CA,West
73554,60292.0,Mangum,Greer,Mangum,OK,South
19961,46257.0,Little Creek,Kent,Little Creek,DE,South
57522,25435.0,Blunt,Hughes,Blunt,SD,Midwest
90749,60293.0,Carson,Los Angeles,Carson,CA,West
75567,46664.0,Maud,Bowie,Maud,TX,South
27313,40130.0,Pleasant Garden,Guilford,Pleasant Garden,NC,South
77979,60294.0,Port Lavaca,Calhoun,Port Lavaca,TX,South
30016,59570.0,Covington,Newton,Covington,GA,South
77562,60295.0,Highlands,Harris,Highlands,TX,South
76082,57734.0,Springtown,Parker,Springtown,TX,South
35473,60296.0,Northport,Tuscaloosa,Northport,AL,South
78578,59567.0,Port Isabel,Cameron,Port Isabel,TX,South
45341,60297.0,Medway,Clark,Medway,OH,Midwest
53185,8123.0,Waterford,Racine,Waterford,WI,Midwest
5767,56417.0,Rochester,Windsor,Rochester,VT,Northeast
1742,57258.0,Concord,Middlesex,Concord,MA,Northeast
28407,56413.0,Wilmington,New Hanover,Wilmington,NC,South
39042,59751.0,Brandon,Rankin,Brandon,MS,South
12516,59668.0,Copake,Columbia,Copake,NY,Northeast
31049,7401.0,Kite,Johnson,Kite,GA,South
95682,7562.0,Shingle Springs,El Dorado,Shingle Springs,CA,West
26615,60298.0,Copen,Braxton,Copen,WV,South
94511,60299.0,Bethel Island,Contra Costa,Bethel Island,CA,West
6860,41444.0,Norwalk,Fairfield,Norwalk,CT,Northeast
27706,59472.0,Durham,Durham,Durham,NC,South
91719,60300.0,Corona,Riverside,Corona,CA,West
31046,59404.0,Juliette,Monroe,Juliette,GA,South
15841,60301.0,Force,Elk,Force,PA,Northeast
35212,36643.0,Birmingham,Jefferson,Birmingham,AL,South
92402,49045.0,San Bernardino,San Bernardino,San Bernardino,CA,West
79184,60302.0,Amarillo,Potter,Amarillo,TX,South
27528,2974.0,Clayton,Clayton,Clayton,NC,South
28652,60303.0,Minneapolis,Avery,Minneapolis,NC,South
97701,53629.0,Bend,Deschutes,Bend,OR,West
72121,7488.0,Pangburn,White,Pangburn,AR,South
8512,60304.0,Cranbury,Middlesex,Cranbury,NJ,Northeast
46974,41431.0,Roann,Wabash,Roann,IN,Midwest
28693,56597.0,Warrensville,Ashe,Warrensville,NC,South
40357,60305.0,North Middletown,Bourbon,North Middletown,KY,South
58642,163.0,Manning,Dunn,Manning,ND,Midwest
62275,1060.0,Pocahontas,Bond,Pocahontas,IL,Midwest
35298,17597.0,Birmingham,Jefferson,Birmingham,AL,South
17582,54504.0,Washington Boro,Lancaster,Washington Boro,PA,Northeast
51565,9187.0,Portsmouth,Shelby,Portsmouth,IA,Midwest
4685,29505.0,Swans Island,Hancock,Swans Island,ME,Northeast
45408,15672.0,Dayton,Montgomery,Dayton,OH,Midwest
77413,60306.0,Barker,Harris,Barker,TX,South
92202,60307.0,Indio,Riverside,Indio,CA,West
15724,42108.0,Cherry Tree,Indiana,Cherry Tree,PA,Northeast
24889,31449.0,Twin Branch,McDowell,Twin Branch,WV,South
39522,19117.0,Stennis Space Center,Hancock,Stennis Space Center,MS,South
56001,4738.0,Mankato,Blue Earth,Mankato,MN,Midwest
72687,60308.0,Yellville,Marion,Yellville,AR,South
1010,60309.0,Brimfield,Hampden,Brimfield,MA,Northeast
10607,21328.0,White Plains,Westchester,White Plains,NY,Northeast
80755,7915.0,Vernon,Yuma,Vernon,CO,West
70422,60310.0,Amite,Tangipahoa,Amite,LA,South
21715,60311.0,Brownsville,Washington,Brownsville,MD,South
52072,16578.0,Saint Olaf,Clayton,Saint Olaf,IA,Midwest
